Equinox7379/dsh-daily-brief	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
Equinox7379/dsh-session-repair	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
Equinox7379/dsh-update-radar	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
Easyhoov/deepseek-harness-desktop	NO_DSH_FIELD	dsdeps=1 cordis=0
Drifter-yh/dsh-tool-policy	BUNDLE_PATCH	patch=string dsdeps=18 cordis=3
Ericwong5021/deepseek-plugin-store	NO_DSH_FIELD	dsdeps=0 cordis=0
EvilIrving/dsh-context-proxy	BUNDLE_PATCH	patch=string dsdeps=8 cordis=1
Equinox7379/dsh-turn-watchdog	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
Favio8/dsh-plugin-deepeye	BUNDLE_PATCH	patch=string dsdeps=3 cordis=1
FantasyStarry/dsh-token-stats	HAS_DSH_NO_PATCH	dsdeps=2 cordis=0
Fishquito7/dsh-skill-viewer	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
Fisfzy/math-lean	NO_DSH_FIELD	dsdeps=0 cordis=0
Fishsb/dsh-prompt-enhancer	NO_PACKAGE_JSON	-
Ericwong5021/dsh-kanban	BUNDLE_PATCH	patch=string dsdeps=5 cordis=1
FlashingChen/dsh-worktree	NO_DSH_FIELD	dsdeps=5 cordis=1
FlytoMAYDAY80/dsh-pet	NO_DSH_FIELD	dsdeps=0 cordis=0
EvilIrving/dsh-repro	BUNDLE_PATCH	patch=string dsdeps=6 cordis=1
EvilIrving/dsh-proof	BUNDLE_PATCH	patch=string dsdeps=6 cordis=1
Flyvhidbwo/dsh-vision-proxy	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
Gandufu/dsh-plugin	NO_DSH_FIELD	dsdeps=0 cordis=0
Ghost011118/dsh-balance-meter	BUNDLE_PATCH	patch=string dsdeps=15 cordis=1
GooodWei/context-vista	HAS_DSH_NO_PATCH	dsdeps=7 cordis=1
GengDaPeng/dsh-agent-message	BUNDLE_PATCH	patch=string dsdeps=2 cordis=1
HackSing/dsh-plugins	NO_PACKAGE_JSON	-
H1a3x/dsh-token-stats	HAS_DSH_NO_PATCH	dsdeps=1 cordis=1
Han-1413141/dsh-sticky-disclosure	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
Ethanout/computer-use-plus	NO_DSH_FIELD	dsdeps=0 cordis=0
HaoyueQin/deepseek-harness-desktop	NO_DSH_FIELD	dsdeps=1 cordis=0
Han-1413141/dsh-cost-meter	BUNDLE_PATCH	patch=string dsdeps=2 cordis=0
He2way/dsh-task-console	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
HeiGeAi/deepseek-harness-skin	NO_PACKAGE_JSON	-
HongzhongL/dsh-hotswap	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
HomophonicFate/rpg-maker-mac-skill	NO_PACKAGE_JSON	-
Hu9956/dsh-codex-provider	BUNDLE_PATCH	patch=string dsdeps=11 cordis=1
HuanLinOTO/dsh-plugin-anti-ads	BUNDLE_PATCH	patch=string dsdeps=4 cordis=1
